Lag_Days,Pearson_Correlation,Pearson_P_Value,Spearman_Correlation,Spearman_P_Value
0,0.06659450596857168,0.037416492181146656,0.07462590741850827,0.019656056253640513
1,0.06944469970989951,0.029970891774138975,0.08554335729340967,0.007465999352005523
2,0.06879468903061173,0.03163384664442984,0.06972109688410677,0.029404827310582058
3,0.06310214048561477,0.04886136157882636,0.07912913167089383,0.013454266317037958
5,0.05846333583241077,0.06832476443642421,0.0663039095891212,0.038655861984398986
7,0.061848686181815514,0.054026850874994675,0.05964765325821008,0.06317849928342457
14,0.05829199390263835,0.07044161953676646,0.051495396473266716,0.11008018923716589
30,0.07013246406993813,0.030837663631774398,0.08035786087754924,0.013326377700345553
